id,category,gender,price,desc
Luxe-RJT-BK,WATCHES,WOMEN,275,Alloy Case ; Alloy Chain ; Plastic Chip ; swarovski Stone ; Rose Gold
Luxe-RJT-BL,WATCHES,WOMEN,275,Alloy Case ; Alloy Chain ; Plastic Chip ; swarovski Stone ; Rose Gold
Luxe-RJT-BR,WATCHES,WOMEN,275,Alloy Case ; Alloy Chain ; Plastic Chip ; swarovski Stone ; Rose Gold
Luxe-RJT-PK,WATCHES,WOMEN,275,Alloy Case ; Alloy Chain ; Plastic Chip ; swarovski Stone ; Rose Gold
Luxe-RJT-WH,WATCHES,WOMEN,275,Alloy Case ; Alloy Chain ; Plastic Chip ; swarovski Stone ; Rose Gold
LX-601-BL,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-601-GR,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-601-RG,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-601-SL,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-602-BK,WATCHES,WOMEN,675,Brass Case ; Brass Chain ; Shaped Case ; Butterfly Lock ; Rose Gold
LX-602-BL,WATCHES,WOMEN,675,Brass Case ; Brass Chain ; Shaped Case ; Butterfly Lock ; Rose Gold
LX-602-BR,WATCHES,WOMEN,675,Brass Case ; Brass Chain ; Shaped Case ; Butterfly Lock ; Rose Gold
LX-602-GR,WATCHES,WOMEN,675,Brass Case ; Brass Chain ; Shaped Case ; Butterfly Lock ; Rose Gold
LX-602-RG,WATCHES,WOMEN,675,Brass Case ; Brass Chain ; Shaped Case ; Butterfly Lock ; Rose Gold
LX-602-SL,WATCHES,WOMEN,675,Brass Case ; Brass Chain ; Shaped Case ; Butterfly Lock ; Rose Gold
LX-603-BK,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Two Tone RG
LX-603-BL,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Two Tone RG
LX-603-BR,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Two Tone RG
LX-603-GR,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Two Tone RG
LX-603-RG,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Two Tone RG
LX-603-SL,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Two Tone RG
LX-604-BK,WATCHES,WOMEN,550,Brass Case ; Brass Chain ; Octagon Shape ; Butterfly Lock ; Rose Gold
LX-604-GR,WATCHES,WOMEN,550,Brass Case ; Brass Chain ; Octagon Shape ; Butterfly Lock ; Rose Gold
LX-604-RG,WATCHES,WOMEN,550,Brass Case ; Brass Chain ; Octagon Shape ; Butterfly Lock ; Rose Gold
LX-604-WH,WATCHES,WOMEN,550,Brass Case ; Brass Chain ; Octagon Shape ; Butterfly Lock ; Rose Gold
LX-605-BL,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-605-GR,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-606-BL,WATCHES,WOMEN,640,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-606-GR,WATCHES,WOMEN,640,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-606-RG,WATCHES,WOMEN,640,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-606-SL,WATCHES,WOMEN,640,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
LX-609-BL,WATCHES,WOMEN,530,Brass Case ; Brass Chain ; Round shape ; Dummy Multi Dial ; Rose Gold
LX-609-RG,WATCHES,WOMEN,530,Brass Case ; Brass Chain ; Round shape ; Dummy Multi Dial ; Rose Gold
LX-609-WH,WATCHES,WOMEN,530,Brass Case ; Brass Chain ; Round shape ; Dummy Multi Dial ; Rose Gold
Luxe-610-RG,WATCHES,WOMEN,470,Brass Case ; Brass Chain ; Round shape ; RG Designer Dial ; Rose Gold
LX-610-BL,WATCHES,WOMEN,470,Brass Case ; Brass Chain ; Round shape ; RG Designer Dial ; Rose Gold
Luxe-611-BK,WATCHES,WOMEN,430,Brass Case ; Shaffer Chain ; Stainlees Sttel ; Classic Dial ; Rose Gold
Luxe-611-BL,WATCHES,WOMEN,430,Brass Case ; Shaffer Chain ; Stainlees Sttel ; Classic Dial ; Rose Gold
Luxe-611-RG,WATCHES,WOMEN,430,Brass Case ; Shaffer Chain ; Stainlees Sttel ; Classic Dial ; Rose Gold
Luxe-611-SL,WATCHES,WOMEN,430,Brass Case ; Shaffer Chain ; Stainlees Sttel ; Classic Dial ; Rose Gold
Luxe-612-BK,WATCHES,WOMEN,495,Brass Case ; Brass Chain ; Hollow Chain ; Lobor Lock ; Rose Gold
Luxe-612-BL,WATCHES,WOMEN,495,Brass Case ; Brass Chain ; Hollow Chain ; Lobor Lock ; Rose Gold
Luxe-612-RG,WATCHES,WOMEN,495,Brass Case ; Brass Chain ; Hollow Chain ; Lobor Lock ; Rose Gold
Luxe-612-SL,WATCHES,WOMEN,495,Brass Case ; Brass Chain ; Hollow Chain ; Lobor Lock ; Rose Gold
Luxe-613-BK,WATCHES,WOMEN,260,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
Luxe-613-BL,WATCHES,WOMEN,260,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
Luxe-613-RG,WATCHES,WOMEN,260,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
Luxe-613-SL,WATCHES,WOMEN,260,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
Luxe-614-BK,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Round shape ; IP Plating ; Two Tone RG
Luxe-614-BL,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Round shape ; IP Plating ; Two Tone RG
Luxe-614-RG,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Round shape ; IP Plating ; Two Tone RG
Luxe-614-WH,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Round shape ; IP Plating ; Two Tone RG
Luxe-615-RG,WATCHES,WOMEN,480,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; Rose Gold
Luxe-615-WH,WATCHES,WOMEN,480,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; Rose Gold
