id,category,gender,price,desc
BD-0099,LINGERIE,,240,Babydoll ; Power Net ; Honey Moon Dress ; Red ; One Size
BD-0102,LINGERIE,,,Babydoll ; Power Net ; Co-Ord Set Babydoll ; Red ; One Size
BD-0105,LINGERIE,,,Babydoll ; Spendex Net ; Pink ; One Size
BD-0118,LINGERIE,,,Babydoll ; Red ; Forbe Lycra ; Honey Moon Dress One Size
BD-0121,LINGERIE,,,Babydoll ; White ; Forbe Lycra ; Premium Baby Doll ; One Size
BD-0123,LINGERIE,,,Babydoll ; White ; Forbe Lycra ; Premium Baby Doll ; One Size
BD-0128,LINGERIE,,,Babydoll ; Black ; Spendex Net ; Honey Moon Dress ; One Size
BD-0138,LINGERIE,,,Babydoll ; Maroon ; Honey Moon Dress ; Power Net ; One Size
BD-0142,LINGERIE,,,Babydoll ; Red ; Spendex Net ; One Size
BD-0143,LINGERIE,,,Babydoll ; Purple ; Honey Moon Dress ; Forbe Lycra ; One Size
BD-0155,LINGERIE,,,Babydoll ; Black ; Babydoll with Robe ; Spendex Net
BD-0159,LINGERIE,,,Babydoll ; Blue ; Forbe Lycra ; One Size
BD-0240,LINGERIE,,,Babydoll ; Grey ; Poly Cotton ; One Size
BD-0341,LINGERIE,,,Babydoll ; Purple ; Honey Moon Dress ; Power Net ; One Size
BD-0367,LINGERIE,,,Babydoll ; White ; Premium Baby Doll ; Power Net
BD-0368,LINGERIE,,,Babydoll ; Spendex Net ; Black ; One Size
BD-1010,LINGERIE,,,Babydoll ; Babydoll with Robe ; Pink ; forbe Lycra+satin ; One Size
BD-1014,LINGERIE,,,Babydoll ; Red ; Forbe Lycra+ Spendex ; One Size
BD-1016,LINGERIE,,,Babydoll ; Black ; Honey Moon Dress ; Spendex Net ; One Size
BD-1017,LINGERIE,,,Babydoll ; Gold ; Co-Ord Set Babydoll ; Forbe Lycra ; One Size
BD-1024,LINGERIE,,,Babydoll ; Orange ; Honey Moon Dress ; Power Net ; One Size
BD-1027,LINGERIE,,,Babydoll ; Premium Baby Doll ; Maroon ; Power Net ; One Size
BD-1028,LINGERIE,,,Babydoll ; Co-Ord Set Babydoll ; Green ; Power Net ; One Size
BD-1036,LINGERIE,,,Babydoll ; Animal ; Forbe Lycra ; One Size
BD-1039,LINGERIE,,,Babydoll ; Animal ; Forbe Lycra ; One Size
BD-1062,LINGERIE,,,Babydoll ; Red ; Forbe Lycra ; Premium Baby Doll ; One Size
BD-1063,LINGERIE,,,Babydoll ; Forbe Lycra ; Premium Baby Doll ; One Size
