id,imageSku,category,gender,subcategory,price,desc
HOB001,HOB001,LEATHER,MEN,LEATHER_BELTS,,"Black ; Artificial Leather ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB002,HOB002,LEATHER,MEN,LEATHER_BELTS,,"Brown ; Artificial Leather ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB003,HOB003,LEATHER,MEN,LEATHER_BELTS,,"Black ; Artificial Leather ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB004,HOB004,LEATHER,MEN,LEATHER_BELTS,,"Brown ; Artificial Leather ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB005,HOB005,LEATHER,MEN,LEATHER_BELTS,,"Tan ; Artificial Leather ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB006,HOB006,LEATHER,MEN,LEATHER_BELTS,,"Black ; Artificial Leather ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB007,HOB007,LEATHER,MEN,LEATHER_BELTS,,"Brown ; Artificial Leather ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB008,HOB008,LEATHER,MEN,LEATHER_BELTS,,"Blue ; Nylon ; One Size ; Men Belt ; Casual/Formal ; Quick-release metal buckle"
HOB009,HOB009,LEATHER,MEN,LEATHER_BELTS,,"Blue ; Nylon ; One Size ; Men Belt ; Casual/Formal ; Flat buckle"
HOB010,HOB010,LEATHER,MEN,LEATHER_BELTS,,"Multicolor ; Nylon ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB011,HOB011,LEATHER,MEN,LEATHER_BELTS,,"Multicolor ; Nylon ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB012,HOB012,LEATHER,MEN,LEATHER_BELTS,,"Multicolor ; Nylon ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB013,HOB013,LEATHER,MEN,LEATHER_BELTS,,"Multicolor ; Nylon ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
HOB014,HOB014,LEATHER,MEN,LEATHER_BELTS,,"Multicolor ; Nylon ; One Size ; Men Belt ; Casual/Formal ; Pin Buckle"
