id,imageSku,category,gender,price,desc
M0009,M0009,WATCHES,MEN,375,Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold
M0101,M0101,WATCHES,MEN,440,Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS
M0104,M0104,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
M0215,M0215,WATCHES,MEN,430,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; Gold
M0220,M0220,WATCHES,MEN,375,Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold
M0229,M0229,WATCHES,MEN,380,Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Black
M0232,M0232,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
M0235,M0235,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
R0100,R0100,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Dark Brown
R0103,R0103,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
R0106,R0106,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
R0111,R0111,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Blue
R0114,R0114,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Blue
R0125,R0125,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
R0129,R0129,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver
495GR,495GR,WATCHES,MEN,590,Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold
24421,24421,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
24438,24438,WATCHES,MEN,295,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
24448,24448,WATCHES,MEN,295,Alloy Case ; SS Chain ; Solid Chain ; IP Plating ; IPS
W040A,W040A,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Black
W041E,W041E,WATCHES,MEN,445,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
W41BL,W41BL,WATCHES,MEN,325,Brass Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
W042A,W042A,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
W042G,W042G,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
W048B,W048B,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
W107A,W107A,WATCHES,MEN,445,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
W0428,W0428,WATCHES,MEN,375,Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Black
W0434,W0434,WATCHES,MEN,295,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
W0439,W0439,WATCHES,MEN,295,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
W0451,W0451,WATCHES,MEN,325,Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS
W0455,W0455,WATCHES,MEN,310,Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS
W0464,W0464,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
W469A,W469A,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
W473A,W473A,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
W0483,W0483,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver
W0488,W0488,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver
W0491,W0491,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
W0496,W0496,WATCHES,MEN,550,Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; Black
