id,imageSku,category,gender,subcategory,price,desc
SG-001,SG-001,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-002,SG-002,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-003,SG-003,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-004,SG-004,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Rectangular Sunglass ; Plastic Frame ; Free Size"
SG-005,SG-005,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Rectangular Sunglass ; Plastic Frame ; Free Size"
SG-006,SG-006,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-007,SG-007,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-008,SG-008,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-009,SG-009,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-010,SG-010,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-011,SG-011,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-012,SG-012,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-013,SG-013,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-014,SG-014,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-015,SG-015,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-016,SG-016,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-017,SG-017,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-018,SG-018,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Transparent Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-019,SG-019,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-020,SG-020,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-021,SG-021,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-022,SG-022,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-023,SG-023,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-024,SG-024,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-025,SG-025,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-026,SG-026,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-027,SG-027,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-028,SG-028,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-029,SG-029,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Green Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-030,SG-030,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-031,SG-031,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Oversized Sunglass ; Plastic Frame ; Free Size"
SG-032,SG-032,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-033,SG-033,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-034,SG-034,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-035,SG-035,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-036,SG-036,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-037,SG-037,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Green Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-038,SG-038,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-039,SG-039,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Oval Sunglass ; Plastic Frame ; Free Size"
SG-040,SG-040,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-041,SG-041,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-042,SG-042,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-043,SG-043,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-044,SG-044,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Purple Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-045,SG-045,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-046,SG-046,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Green Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-047,SG-047,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Retro-Square Sunglass ; Plastic Frame ; Free Size"
SG-048,SG-048,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-049,SG-049,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-050,SG-050,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Brown Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-051,SG-051,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-052,SG-052,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-053,SG-053,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Grey Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-054,SG-054,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Blue Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-055,SG-055,SUNGLASSES,UNISEX,SUNGLASSES_UNISEX,,"Black Lens ; Square Sunglass ; Plastic Frame ; Free Size"
SG-HOB501,HOB501,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Black Frame Color ; UV Protected ; Blue Lens ; durable imported plastic"
SG-HOB502,HOB502,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"White Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB503,HOB503,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Blue Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB504,HOB504,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Yellow Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB505,HOB505,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Black Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB506,HOB506,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Blue Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB507,HOB507,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Blue Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB508,HOB508,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Purple Frame Color ; UV Protected ; Blue Lens ; durable imported plastic"
SG-HOB509,HOB509,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Red Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB510,HOB510,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Black Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB511,HOB511,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Blue Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB512,HOB512,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Red Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB513,HOB513,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Yellow Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
SG-HOB514,HOB514,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Blue Frame Color ; UV Protected ; Blue Lens ; durable imported plastic"
SG-HOB515,HOB515,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Red Frame Color ; UV Protected ; Blue Lens ; durable imported plastic"
SG-HOB516,HOB516,SUNGLASSES,KIDS,SUNGLASSES_KIDS,,"Black Frame Color ; UV Protected ; Black Lens ; durable imported plastic"
