id,imageSku,category,gender,subcategory,price,desc
HOBF01,HOBF01,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF02,HOBF02,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF03,HOBF03,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF04,HOBF04,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF05,HOBF05,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF06,HOBF06,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF07,HOBF07,WATCHES,MEN,WATCHES_MEN,,"Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF08,HOBF08,WATCHES,MEN,WATCHES_MEN,,"Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF09,HOBF09,WATCHES,MEN,WATCHES_MEN,,"Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF10,HOBF10,WATCHES,MEN,WATCHES_MEN,,"Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF11,HOBF11,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF12,HOBF12,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF13,HOBF13,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF14,HOBF14,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF15,HOBF15,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF16,HOBF16,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF17,HOBF17,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; Gold"
HOBF18,HOBF18,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; Gold"
HOBF19,HOBF19,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; Gold"
HOBF20,HOBF20,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; Gold"
HOBF21,HOBF21,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; Rose Gold"
HOBF22,HOBF22,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF23,HOBF23,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF24,HOBF24,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF25,HOBF25,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF26,HOBF26,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Black"
HOBF27,HOBF27,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF28,HOBF28,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; IPS"
HOBF29,HOBF29,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF30,HOBF30,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF31,HOBF31,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold"
HOBF32,HOBF32,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black"
HOBF33,HOBF33,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black"
HOBF34,HOBF34,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Green"
HOBF35,HOBF35,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver"
HOBF36,HOBF36,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Blue"
HOBF37,HOBF37,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black"
HOBF38,HOBF38,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Blue"
HOBF39,HOBF39,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Dark Brown"
HOBF40,HOBF40,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver"
HOBF41,HOBF41,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black"
HOBF42,HOBF42,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver"
HOBF43,HOBF43,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF44,HOBF44,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF45,HOBF45,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
HOBF46,HOBF46,WATCHES,MEN,WATCHES_MEN,,"Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS"
