id,imageSku,category,gender,price,desc
X0RJT,X0RJT,WATCHES,WOMEN,275,Alloy Case ; Alloy Chain ; Plastic Chip ; swarovski Stone ; Rose Gold
X0601,X0601,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
X0602,X0602,WATCHES,WOMEN,675,Brass Case ; Brass Chain ; Shaped Case ; Butterfly Lock ; Rose Gold
X0603,X0603,WATCHES,WOMEN,690,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Two Tone RG
X0604,X0604,WATCHES,WOMEN,550,Brass Case ; Brass Chain ; Octagon Shape ; Butterfly Lock ; Rose Gold
X0605,X0605,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Sqaure Shape ; Butterfly Lock ; Rose Gold
X0609,X0609,WATCHES,WOMEN,530,Brass Case ; Brass Chain ; Round shape ; Dummy Multi Dial ; Rose Gold
X0610,X0610,WATCHES,WOMEN,470,Brass Case ; Brass Chain ; Round shape ; RG Designer Dial ; Rose Gold
X0611,X0611,WATCHES,WOMEN,430,Brass Case ; Shaffer Chain ; Stainlees Sttel ; Classic Dial ; Rose Gold
X0612,X0612,WATCHES,WOMEN,495,Brass Case ; Brass Chain ; Hollow Chain ; Lobor Lock ; Rose Gold
X0613,X0613,WATCHES,WOMEN,260,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
X0614,X0614,WATCHES,WOMEN,590,Brass Case ; Brass Chain ; Round shape ; IP Plating ; Two Tone RG
X0615,X0615,WATCHES,WOMEN,480,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; Rose Gold
KL001,KL001,WATCHES,WOMEN,280,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Black
KL110,KL110,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
KL109,KL109,WATCHES,WOMEN,250,Alloy Case ; Leather Band ; Genuine Leather ; RG Buckle ; Rose Gold
